Date,GoogleTrend
2020-01-01,31
2020-01-02,36
2020-01-03,39
2020-01-04,34
2020-01-05,30
2020-01-06,31
2020-01-07,36
2020-01-08,39
2020-01-09,37
2020-01-10,34
2020-01-11,32
2020-01-12,29
2020-01-13,39
2020-01-14,41
2020-01-15,38
2020-01-16,37
2020-01-17,34
2020-01-18,30
2020-01-19,31
2020-01-20,32
2020-01-21,35
2020-01-22,42
2020-01-23,39
2020-01-24,35
2020-01-25,33
2020-01-26,29
2020-01-27,30
2020-01-28,33
2020-01-29,46
2020-01-30,60
2020-01-31,43
2020-02-01,35
2020-02-02,32
2020-02-03,54
2020-02-04,100
2020-02-05,92
2020-02-06,66
2020-02-07,50
2020-02-08,36
2020-02-09,35
2020-02-10,45
2020-02-11,42
2020-02-12,39
2020-02-13,44
2020-02-14,41
2020-02-15,35
2020-02-16,35
2020-02-17,36
2020-02-18,40
2020-02-19,48
2020-02-20,45
2020-02-21,40
2020-02-22,35
2020-02-23,32
2020-02-24,43
2020-02-25,43
2020-02-26,39
2020-02-27,44
2020-02-28,48
2020-02-29,35
2020-02-29,82
2020-03-01,75
2020-03-02,91
2020-03-03,89
2020-03-04,84
2020-03-05,79
2020-03-06,84
2020-03-07,75
2020-03-08,65
2020-03-09,100
2020-03-10,91
2020-03-11,82
2020-03-12,88
2020-03-13,90
2020-03-14,70
2020-03-15,60
2020-03-16,82
2020-03-17,83
2020-03-18,98
2020-03-19,93
2020-03-20,83
2020-03-21,59
2020-03-22,59
2020-03-23,73
2020-03-24,77
2020-03-25,76
2020-03-26,69
2020-03-27,67
2020-03-28,53
2020-03-29,45
2020-03-30,55
2020-03-31,55
2020-04-01,57
2020-04-02,64
2020-04-03,62
2020-04-04,40
2020-04-05,41
2020-04-06,53
2020-04-07,54
2020-04-08,56
2020-04-09,53
2020-04-10,50
2020-04-11,43
2020-04-12,40
2020-04-13,59
2020-04-14,64
2020-04-15,65
2020-04-16,62
2020-04-17,62
2020-04-18,53
2020-04-19,45
2020-04-20,55
2020-04-21,58
2020-04-22,55
2020-04-23,52
2020-04-24,49
2020-04-25,45
2020-04-26,45
2020-04-27,57
2020-04-28,60
2020-04-29,85
2020-04-30,83
2020-05-01,90
2020-05-02,76
2020-05-03,57
2020-05-04,64
2020-05-05,65
2020-05-06,64
2020-05-07,61
2020-05-08,67
2020-05-09,66
2020-05-10,76
2020-05-11,83
2020-05-12,89
2020-05-13,77
2020-05-14,67
2020-05-15,65
2020-05-16,63
2020-05-17,58
2020-05-18,63
2020-05-19,64
2020-05-20,60
2020-05-21,58
2020-05-22,55
2020-05-23,62
2020-05-24,57
2020-05-25,59
2020-05-26,64
2020-05-27,90
2020-05-28,73
2020-05-29,67
2020-05-29,36
2020-05-30,51
2020-05-31,41
2020-06-01,42
2020-06-02,38
2020-06-03,38
2020-06-04,35
2020-06-05,37
2020-06-06,39
2020-06-07,38
2020-06-08,45
2020-06-09,50
2020-06-10,60
2020-06-11,57
2020-06-12,51
2020-06-13,44
2020-06-14,42
2020-06-15,44
2020-06-16,48
2020-06-17,44
2020-06-18,43
2020-06-19,46
2020-06-20,42
2020-06-21,45
2020-06-22,46
2020-06-23,44
2020-06-24,45
2020-06-25,44
2020-06-26,43
2020-06-27,43
2020-06-28,42
2020-06-29,42
2020-06-30,48
2020-07-01,54
2020-07-02,67
2020-07-03,52
2020-07-04,43
2020-07-05,45
2020-07-06,72
2020-07-07,69
2020-07-08,58
2020-07-09,54
2020-07-10,63
2020-07-11,56
2020-07-12,53
2020-07-13,88
2020-07-14,78
2020-07-15,63
2020-07-16,60
2020-07-17,56
2020-07-18,51
2020-07-19,48
2020-07-20,60
2020-07-21,66
2020-07-22,100
2020-07-23,91
2020-07-24,72
2020-07-25,53
2020-07-26,47
2020-07-27,59
2020-07-28,55
2020-07-29,53
2020-07-30,49
2020-07-31,53
2020-08-01,43
2020-08-02,44
2020-08-03,48
2020-08-04,45
2020-08-05,44
2020-08-06,44
2020-08-07,43
2020-08-08,41
2020-08-09,41
2020-08-10,45
2020-08-11,55
2020-08-12,76
2020-08-13,64
2020-08-14,58
2020-08-15,46
2020-08-16,43
2020-08-17,67
2020-08-18,71
2020-08-19,66
2020-08-20,76
2020-08-21,85
2020-08-22,58
2020-08-23,52
2020-08-24,74
2020-08-25,65
2020-08-26,66
2020-08-27,69
2020-08-28,76
2020-08-29,63
2020-08-29,49
2020-08-30,45
2020-08-31,100
2020-09-01,90
2020-09-02,77
2020-09-03,75
2020-09-04,77
2020-09-05,49
2020-09-06,40
2020-09-07,42
2020-09-08,79
2020-09-09,74
2020-09-10,57
2020-09-11,53
2020-09-12,40
2020-09-13,36
2020-09-14,52
2020-09-15,57
2020-09-16,52
2020-09-17,47
2020-09-18,49
2020-09-19,38
2020-09-20,37
2020-09-21,59
2020-09-22,99
2020-09-23,88
2020-09-24,64
2020-09-25,52
2020-09-26,42
2020-09-27,41
2020-09-28,49
2020-09-29,48
2020-09-30,44
2020-10-01,48
2020-10-02,51
2020-10-03,39
2020-10-04,35
2020-10-05,44
2020-10-06,43
2020-10-07,40
2020-10-08,40
2020-10-09,41
2020-10-10,33
2020-10-11,32
2020-10-12,40
2020-10-13,39
2020-10-14,44
2020-10-15,54
2020-10-16,47
2020-10-17,38
2020-10-18,35
2020-10-19,43
2020-10-20,43
2020-10-21,58
2020-10-22,51
2020-10-23,44
2020-10-24,36
2020-10-25,31
2020-10-26,40
2020-10-27,36
2020-10-28,37
2020-10-29,36
2020-10-30,38
2020-10-31,32
2020-11-01,26
2020-11-02,35
2020-11-03,35
2020-11-04,21
2020-11-05,25
2020-11-06,35
2020-11-07,28
2020-11-08,28
2020-11-09,40
2020-11-10,35
2020-11-11,35
2020-11-12,32
2020-11-13,35
2020-11-14,30
2020-11-15,28
2020-11-16,42
2020-11-17,63
2020-11-18,52
2020-11-19,51
2020-11-20,46
2020-11-21,32
2020-11-22,30
2020-11-23,44
2020-11-24,57
2020-11-25,58
2020-11-26,38
